image,Actual idiom,Literal Translation,English Pronounciation,Idiom meaning in English,Descriptive Meaning(Human Annotation)
Images/1208.png,हृदय पसीजना,Heart melts (become compassionate),Hriday Paseejna,to be kind,"The Hindi idiom 'हृदय पसीजना' translates to 'melting of the heart' in English. It describes a moment when someone feels deep compassion, empathy, or tenderness, often leading to a change in attitude or behavior. This phrase evokes an image of a heart softening, symbolizing the emotional warmth and kindness that arises in response to another's situation or plea."
Images/1209.png,हरिश्चन्द्र बनना,To become Harishchandra (be very truthful),Harishchandra Banna,to be true,"The idiom 'हरिश्चन्द्र बनना' (Harishchandra banna) refers to someone who is exceptionally honest and truthful, often to the point of self-sacrifice. It is derived from the legendary King Harishchandra in Indian mythology, who is renowned for his unwavering commitment to truth and integrity, even in the face of immense personal hardship. An image based on this idiom might depict a person standing firm and resolute, possibly in a challenging situation, symbolizing their steadfast adherence to honesty and truth."
Images/1210.png,हल्दी लगना,To get turmeric applied (get married),Haldi Lagna,getting married,"The Hindi idiom ""हल्दी लगना"" (haldi lagna) translates to ""to be smeared with turmeric"" in English. This phrase is often used metaphorically to describe someone who is experiencing good fortune or success, as turmeric is traditionally associated with auspiciousness and positive events in Indian culture. An image representing this idiom could depict a person with a joyful expression, perhaps with a touch of turmeric on their face or hands, symbolizing their recent good luck or achievements."
Images/1211.png,हाथ पर हाथ धरे बैठना,To sit with hands on hands (do nothing),Haath Par Haath Dhare Baithna,"lazy, slacker, slacker","The Hindi idiom 'हाथ पर हाथ धरे बैठना' translates to 'sitting with hands folded' in English. It describes a situation where someone is being idle or inactive, not taking any action or initiative despite the need to do so. The imagery for this idiom could depict a person sitting down with their hands resting on top of each other, looking passive or indifferent, while around them there might be signs of tasks or activities that need attention."
Images/1212.png,हाथ भर का कलेजा होना,To have a hand-sized liver (be brave),Haath Bhar Ka Kaleja Hona,to be very happy,"The Hindi idiom 'हाथ भर का कलेजा होना' translates to ""having a heart as big as a handspan."" It describes someone who is very brave, courageous, and fearless. The imagery suggests a person with immense inner strength and the ability to face challenges head-on without hesitation."
Images/1213.png,हाथों में चूड़ियाँ पहनना,To wear bangles on hands (be cowardly),Haathon Mein Chudiyan Pehnana,act cowardly,"The Hindi idiom 'हाथों में चूड़ियाँ पहनना' translates to 'wearing bangles on the hands' in English. This idiom is often used to imply that someone is acting timidly or is not showing courage, as bangles are traditionally associated with women and, in this context, symbolize a lack of bravery or assertiveness. An image based on this idiom could depict a person, possibly a man, wearing bangles and looking hesitant or fearful, highlighting the contrast between the traditional symbol of femininity and the expectation of courage."
Images/1214.png,हालत खस्ता होना,Condition becomes bad,Haalat Khasta Hona,be in trouble,"The Hindi idiom 'हालत खस्ता होना' translates to 'being in a poor or deteriorated condition' in English. It describes a situation where someone or something is in a state of disrepair, extreme difficulty, or severe decline. This could apply to physical health, financial status, or general well-being. An image representing this idiom might depict a person looking exhausted and worn out, a dilapidated building, or a wilted plant, symbolizing the overall sense of decline and hardship."
Images/1215.png,होड़ करना,To compete,Hod Karna,to compete,"The Hindi idiom 'होड़ करना' translates to 'to compete' in English. It signifies the act of striving to outdo others, often in a spirited or intense manner. An image representing this idiom could depict two or more individuals or entities engaged in a race or contest, showcasing their determination and effort to surpass each other. The scene might include elements of rivalry, ambition, and the drive to excel."
Images/1216.png,होश सँभालना,To gather senses,Hosh Sambhalna,becoming an adult,"The Hindi idiom 'होश सँभालना' translates to 'to regain one's senses' or 'to come to one's senses' in English. It implies becoming aware, alert, or cautious after a period of confusion, distraction, or carelessness. An image representing this idiom could depict a person who appears to be in a state of realization or awakening, perhaps with a thoughtful or focused expression, symbolizing the moment they regain clarity and awareness."
Images/1217.png,हौसला पस्त होना,Courage becomes weak,Hausla Past Hona,To get upset,"The Hindi idiom 'हौसला पस्त होना' translates to 'losing courage' or 'being disheartened' in English. It describes a situation where someone feels demoralized, discouraged, or has lost their motivation and confidence. An image representing this idiom could depict a person sitting with slumped shoulders, a downcast expression, and a sense of defeat, perhaps in a dimly lit or gloomy setting to emphasize the feeling of discouragement."
Images/1218.png,हौसला बढ़ाना,To boost courage,Hausla Badhana,to boost someone's courage,"The Hindi idiom 'हौसला बढ़ाना' translates to 'boosting morale' or 'encouraging someone' in English. It signifies the act of uplifting someone's spirits, providing motivation, or giving support to help them overcome challenges or achieve their goals. An image representing this idiom could depict a person offering a helping hand, cheering someone on, or a mentor guiding a student, symbolizing encouragement and support."
Images/1219.png,होश उड़ जाना,Senses fly away (be shocked),Hosh Ud Jana,"get scared, get scared","The Hindi idiom 'होश उड़ जाना' translates to 'losing one's senses' or 'being extremely shocked or surprised' in English. To visually represent this idiom, you could depict a person with a wide-eyed, astonished expression, perhaps with their hair standing on end or with exaggerated, swirling lines around their head to symbolize the overwhelming shock or surprise. The background could include elements that emphasize the unexpected nature of the situation, such as a sudden burst of light or an unexpected event unfolding."
Images/1220.png,हाथ पाँव फूलना,Hands and feet swell (get nervous),Haath Paon Phoolna,Freak out,"The Hindi idiom 'हाथ पाँव फूलना' translates to 'hands and feet swelling' in English. It is used to describe a state of extreme nervousness, anxiety, or fear, where a person feels so overwhelmed that their limbs metaphorically swell up, making them feel paralyzed or unable to act effectively. An image representing this idiom could depict a person in a stressful situation, with exaggeratedly swollen hands and feet, looking visibly anxious or frightened."
Images/1221.png,हाथपाई होना,To have a scuffle,Haathpai Hona,to be beaten,"The Hindi idiom 'हाथपाई होना' translates to ""to come to blows"" in English. It describes a situation where a verbal disagreement escalates into a physical altercation. For an image representation, you could depict two individuals in a heated argument, with raised fists or aggressive body language, indicating that the conflict is about to or has already turned physical."
Images/1222.png,हुक्का पानी बंद करना,To stop hookah and water (boycott),Hooka Pani Band Karna,cast out,"The Hindi idiom 'हुक्का पानी बंद करना' translates to ""to cut off someone's hookah and water."" It means to ostracize or socially boycott someone, cutting off all social interactions and support. The imagery for this idiom could include a person being isolated, with traditional elements like a hookah (a smoking pipe) and a water pot being taken away or placed out of reach, symbolizing the severance of social ties and communal support."
Images/1223.png,हेकड़ी निकालना,To show arrogance,Hekdi Nikalna,to pride,"The Hindi idiom 'हेकड़ी निकालना' translates to ""to take out someone's arrogance"" in English. It refers to the act of humbling someone who is overly proud or arrogant. The imagery for this idiom could depict a scenario where a person who is boastful or conceited is being brought down to a more modest or humble state, often through a humbling experience or lesson."
Images/1224.png,हत्थे चढ़ना,To get caught,Hathe Chadna,in control,"The Hindi idiom 'हत्थे चढ़ना' translates to ""to fall into someone's hands"" in English. It means to be caught or captured by someone, often implying that the person who is caught is now at the mercy of the captor. 

For an image representation, you could visualize a person being caught in a net or trap, symbolizing that they have been captured and are now under someone else's control."
Images/1225.png,हथेली पर जान लिए फिरना,To carry life on palm (risk life),Hatheli Par Jaan Liye Phirna,be prepared to die,"The Hindi idiom 'हथेली पर जान लिए फिरना' translates to ""carrying one's life on the palm of one's hand."" This phrase describes a situation where someone is constantly in danger or living on the edge, taking significant risks. It evokes an image of a person holding their life precariously, as if it could be lost at any moment."
Images/1226.png,हरी झंडी दिखाना,To show green flag (give permission),Hari Jhandi Dikhana,signal to go or clear the way,"The Hindi idiom 'हरी झंडी दिखाना' translates to 'showing the green flag' in English. It signifies giving approval or permission to proceed with a task or activity. The imagery associated with this idiom would typically include a person holding or waving a green flag, symbolizing the go-ahead or clearance to move forward."
Images/1227.png,हक्का-बक्का रह जाना,To be dumbfounded,Hakka-Bakka Reh Jana,startled,"The Hindi idiom 'हक्का-बक्का रह जाना' translates to being utterly astonished or taken aback. It describes a state of shock or surprise where someone is left speechless or bewildered by an unexpected event or revelation. An image representing this idiom could depict a person with wide eyes and an open mouth, perhaps with their hands on their cheeks, to visually convey the sense of being stunned or flabbergasted."
Images/1228.png,हवा बदलना,To change the wind (change situation),Hawa Badalna,change position,"The Hindi idiom 'हवा बदलना' translates to 'changing the air' in English. It signifies a change in environment or circumstances, often implying a need for a fresh start or a new perspective. An image representing this idiom could depict a person moving from a crowded, polluted city to a serene, natural landscape, symbolizing the shift from a stressful situation to a more peaceful and rejuvenating one."
Images/1229.png,हवाइयाँ उड़ाना,To fly planes (look scared),Hawaiyan Udana,facial pallor,"The Hindi idiom 'हवाइयाँ उड़ाना' translates to ""to be extremely worried or anxious"" in English. It literally means ""to have one's air blown away,"" which metaphorically describes a person who is so stressed or frightened that they appear visibly disturbed or unsettled. An image representing this idiom might depict a person with a distressed expression, perhaps with disheveled hair or a worried look, to visually convey the sense of anxiety or fear."
Images/1230.png,हिरण हो जाना,To become a deer (become timid),Hiran Ho Jana,to disappear,"The Hindi idiom 'हिरण हो जाना' translates to 'to become a deer' in English. This phrase is often used to describe someone who has suddenly disappeared or fled quickly, much like a deer that swiftly runs away when startled. The imagery for this idiom could include a scene where a person is seen running away rapidly, perhaps with a startled expression, or it could depict a deer in mid-leap, symbolizing the sudden and swift departure."
Images/1231.png,हृदय उछलना,Heart jumps (be excited),Hriday Uchhalna,"to be very happy, to be very happy","The Hindi idiom 'हृदय उछलना' translates to 'heart leaping' in English. It describes a feeling of sudden joy, excitement, or intense emotion. Imagine a person experiencing a moment of great happiness or surprise, where their heart feels like it is leaping or jumping with joy. This could be depicted visually by showing a person with a radiant, joyful expression, perhaps with a glowing or animated heart symbol to emphasize the emotional surge."
Images/1232.png,हृदय पत्थर हो जाना,Heart becomes stone (become cruel),Hriday Patthar Ho Jana,be cruel,"The Hindi idiom 'हृदय पत्थर हो जाना' translates to 'heart turning to stone' in English. It describes a person becoming emotionally hardened or insensitive, often due to experiencing significant pain, betrayal, or hardship. The imagery for this idiom could include a human heart transforming into a cold, unfeeling stone, symbolizing the loss of warmth, compassion, and emotional responsiveness."
Images/1233.png,हक अदा करना,To pay the due,Haq Ada Karna,perform one's duty,"The idiom 'हक अदा करना' translates to 'fulfilling one's duty' or 'giving someone their due' in English. It signifies the act of performing one's responsibilities or obligations towards others, ensuring fairness and justice. An image representing this idiom could depict a person handing over something valuable or important to another person, symbolizing the act of giving what is rightfully owed or deserved."
Images/1234.png,हाथ को हाथ न सूझना,Can’t see hand to hand (be in confusion),Haath Ko Haath Na Soojhna,Darkness,"The Hindi idiom 'हाथ को हाथ न सूझना' translates to a situation where it is so dark that one cannot see their own hand in front of them. This phrase is often used to describe extreme darkness or confusion. For an image representation, you might depict a person standing in pitch-black darkness, with their hand extended in front of them but completely invisible due to the lack of light."
Images/1235.png,हाथों हाथ बिक जाना,To be sold hand to hand (sell quickly),Haathon Haath Bik Jana,sell out very quickly,"The Hindi idiom 'हाथों हाथ बिक जाना' translates to ""to be sold instantly"" in English. It describes a situation where something is sold very quickly, almost immediately upon being offered. This phrase often implies high demand or great popularity of the item being sold. 

For an image representation, you might visualize a bustling marketplace where a vendor's goods are being eagerly purchased by a crowd of buyers, with items practically flying off the shelves as soon as they are displayed."
Images/1236.png,हाथ साफ करना,To clean the hand (steal),Haath Saaf Karna,"steal, steal, steal, slip away","The Hindi idiom 'हाथ साफ करना' translates to 'cleaning one's hands' in English. However, its figurative meaning is to steal or pilfer something. An image representing this idiom could depict a person discreetly taking an item, such as money or a valuable object, from a place where it is kept, symbolizing the act of stealing. The setting could be a market, a home, or any place where theft might occur, with the person's actions being subtle and secretive."
Images/1237.png,हरियाली सूझना,To see greenery (see prosperity),Hariyali Soojhna,Be merry,"The Hindi idiom 'हरियाली सूझना' translates to ""seeing greenery"" in English. It metaphorically describes a situation where someone is experiencing prosperity, abundance, or good fortune. The imagery of lush, green landscapes symbolizes wealth, growth, and positive outcomes. In a visual representation, you might depict a person standing in a verdant, flourishing field or garden, surrounded by vibrant plants and trees, reflecting a sense of well-being and success."
Images/1238.png,हवा हो जाना,To become air (disappear),Hawa Ho Jana,Disappear; become extinct,"The Hindi idiom 'हवा हो जाना' translates to 'to vanish into thin air' in English. It describes a situation where someone or something disappears suddenly and completely, as if they were never there. For an image representation, you might depict a person or object fading away or dissolving into the air, leaving no trace behind."
Images/1239.png,हाँ-में-हाँ मिलाना,To say yes to yes (agree with),Haan-Mein-Haan Milana,to flatter,"The Hindi idiom 'हाँ-में-हाँ मिलाना' translates to ""to agree with someone"" in English. It describes the act of agreeing with or supporting someone's opinion or statement, often without questioning or offering a different perspective. This can be visualized as two people nodding in agreement, with one person echoing the other's words or gestures, symbolizing harmony and concurrence."
Images/1240.png,हाथ लगना,To be found (get hold of),Haath Lagna,"to receive, to receive, to receive, to welcome, to accept","The Hindi idiom 'हाथ लगना' translates to 'to come into one's grasp' or 'to be within reach' in English. It signifies achieving or obtaining something that was desired or sought after. An image representing this idiom could depict a person reaching out and successfully grabbing or holding onto an object, symbolizing the attainment of a goal or desire."
Images/1241.png,हाथ काट के देना,To cut and give hand (help a lot),Haath Kaat Ke Dena,put in writing,"The Hindi idiom 'हाथ काट के देना' translates to ""cutting off one's hand to give"" in English. It signifies an extreme act of generosity or sacrifice, where someone gives away something very valuable or essential to themselves to help or benefit another person. The imagery for this idiom could depict a person offering their hand, symbolizing a significant personal sacrifice, with an expression of determination and selflessness."
Images/1242.png,हाथ चूमना,To kiss the hand (show respect),Haath Choomna,happy to work,"The Hindi idiom 'हाथ चूमना' translates to 'kissing the hand' in English. It symbolizes showing deep respect, admiration, or gratitude towards someone. The imagery involves a person gently holding another's hand and bringing it to their lips as a gesture of honor and reverence. This act is often associated with acknowledging someone's higher status, wisdom, or benevolence."
Images/1243.png,हाथ का मैल होना,To be the dirt of hand (be insignificant),Haath Ka Mail Hona,to be very small,"The Hindi idiom 'हाथ का मैल होना' translates to 'dirt of the hand' in English. It is used to describe something that is easily attainable or insignificant, often referring to money or material wealth. The imagery suggests that just as dirt can be easily washed off the hand, money or material possessions are not permanent and can come and go easily."
Images/1244.png,हाथ खींचना,To pull back hand (withdraw support),Haath Kheenchna,"retreat, give up, give up","The Hindi idiom 'हाथ खींचना' translates to 'withdrawing one's hand' in English. It metaphorically means to withdraw support or stop helping someone. An image representing this idiom could depict a person pulling their hand away from another person who is reaching out for help, symbolizing the act of ceasing to provide assistance."
Images/1245.png,हाथ जोड़ना,To fold hands (beg/plead),Haath Jodna,not related,"The Hindi idiom 'हाथ जोड़ना' translates to 'folding hands' in English. It symbolizes a gesture of respect, humility, or a request for forgiveness. In Indian culture, this gesture is often used to greet someone, show reverence, or plead for something earnestly. An image representing this idiom would typically depict a person with their palms pressed together in front of their chest, fingers pointing upwards, and a respectful or humble expression on their face."
Images/1246.png,हाथ डालना,To put hand in (get involved),Haath Daalna,"to interfere, to interfere","The Hindi idiom 'हाथ डालना' translates to 'to put one's hand into something' in English. It means to get involved in a task or situation, often implying taking responsibility or initiating action. An image representing this idiom could depict a person reaching out with their hand towards a task or project, symbolizing their willingness to engage or take charge."
Images/1247.png,हाथ बटाना,To lend a hand (help),Haath Batana,"to help, to help, to help,","The Hindi idiom 'हाथ बटाना' translates to 'lending a hand' in English. It signifies helping someone with their work or sharing the burden of a task. An image representing this idiom could depict people working together, perhaps lifting a heavy object, collaborating on a project, or assisting each other in a communal activity, symbolizing cooperation and mutual support."
Images/1248.png,हाथ से निकल जाना,To slip from hand (lose control),Haath Se Nikal Jana,out of control,"The Hindi idiom 'हाथ से निकल जाना' translates to 'slipping out of hand' in English. It describes a situation where something valuable or important is lost or missed despite efforts to retain it. This can be visualized as an object slipping through someone's fingers, symbolizing the loss of control or opportunity."
Images/1249.png,हाथापाई होना,To have a scuffle,Haathapai Hona,"to thrash, to beat, to be beaten, to thump, to thump, to thump","The Hindi idiom 'हाथापाई होना' translates to 'to come to blows' in English. It describes a situation where a verbal disagreement escalates into a physical altercation. The imagery for this idiom could include two or more individuals in a heated argument, with raised fists or aggressive body language, indicating that the conflict has turned physical."
Images/1250.png,हाय-हाय करना,To cry out (lament),Haay-Haay Karna,dissatisfied,"The Hindi idiom 'हाय-हाय करना' translates to 'to lament or wail' in English. It describes a situation where someone is expressing deep sorrow, regret, or distress, often in a loud or dramatic manner. An image representing this idiom could depict a person with a sorrowful expression, possibly with tears, hands raised to the sky, or clutching their head in despair, to visually convey the intense emotional pain and lamentation."
Images/1251.png,हौसला बुलंद होना,Courage becomes high,Hausla Buland Hona,to be emotional,"The idiom 'हौसला बुलंद होना' translates to 'having high spirits' or 'being highly motivated' in English. It describes a state of being where a person is full of courage, determination, and enthusiasm, ready to face challenges and overcome obstacles with confidence. An image representing this idiom could depict a person standing tall on a mountain peak, looking ahead with a confident and determined expression, symbolizing their strong will and high morale."
Images/1252.png,हाय तोबा करना,To cry out (lament),Haay Toba Karna,be very upset,"The Hindi idiom 'हाय तोबा करना' translates to ""to lament or express regret intensely"" in English. It describes a situation where someone is expressing deep sorrow, regret, or distress, often in a dramatic or exaggerated manner. An image representing this idiom could depict a person with a distressed expression, possibly with hands on their head or face, symbolizing intense regret or lamentation."
Images/1253.png,हंसीं में बात उड़ाना,To dismiss in laughter,Hansee Mein Baat Udana,don't take seriously,"The Hindi idiom 'हंसीं में बात उड़ाना' translates to 'to dismiss something as a joke' in English. It describes a situation where someone does not take a matter seriously and instead treats it lightly or humorously, often ignoring its importance or significance. An image representing this idiom could depict a person laughing or making a joke while another person looks concerned or serious, highlighting the contrast between the two attitudes."
Images/1254.png,हजम करना,To digest (tolerate),Hajam Karna,"embezzlement, misappropriation, usurpation","The Hindi idiom 'हजम करना' translates to 'digesting' in English. It metaphorically means to accept or endure something difficult or unpleasant without outwardly showing discomfort or complaint. An image representing this idiom could depict a person calmly swallowing a bitter pill or enduring a challenging situation with a composed expression, symbolizing their ability to 'digest' or handle the difficulty internally."
Images/1255.png,हथेली पर सरसों जमाना,To grow mustard on palm (impossible),Hatheli Par Sarson Jamana,do something difficult,"The Hindi idiom 'हथेली पर सरसों जमाना' translates to 'growing mustard on one's palm' in English. It is used to describe an impossible or extremely difficult task. The imagery suggests trying to cultivate mustard seeds on the flat, smooth surface of one's palm, which is clearly impractical and unfeasible. This idiom is often used to emphasize the futility or absurdity of attempting something that cannot realistically be achieved."
Images/1256.png,हवा उड़ना,To fly away (be scattered),Hawa Udna,spreading news or rumors,"The Hindi idiom 'हवा उड़ना' translates to 'flying in the air' in English. It is often used to describe someone who is extremely happy, excited, or elated, as if they are so light and joyful that they could float or fly. For an image based on this idiom, you might depict a person with a joyful expression, perhaps with their feet slightly off the ground, surrounded by elements that suggest lightness and freedom, such as balloons, birds, or clouds."
Images/1257.png,हड्डी-पसली एक करना,To make bones and ribs one (beat up),Haddi- Pasli Ek Karna,to beat badly,The Hindi idiom 'हड्डी-पसली एक करना' translates to 'to break bones and ribs' in English. It is used metaphorically to describe a situation where someone is subjected to extreme physical exertion or a severe beating. The imagery for this idiom could include a person engaged in intense physical labor or a scene depicting a fierce physical struggle or fight.
Images/1258.png,हाथों के तोते उड़ जाना,Parrots of hands fly away (be shocked),Haathon Ke Tote Ud Jana,Numbness,"The Hindi idiom 'हाथों के तोते उड़ जाना' translates to 'the parrots in one's hands flying away' in English. It is used to describe a situation where someone is suddenly shocked, startled, or left speechless due to an unexpected event or news. The imagery suggests a person holding parrots, which suddenly fly away, leaving the person in a state of surprise or disbelief."
Images/1259.png,हाथ पैर मारना,To move hands and feet (make efforts),Haath Pair Maarna,to make great efforts,"The Hindi idiom 'हाथ पैर मारना' translates to 'to struggle or make a desperate effort' in English. It describes a situation where someone is trying very hard to achieve something, often with a sense of urgency or desperation. An image representing this idiom could depict a person flailing their arms and legs in water, trying to stay afloat, symbolizing the intense effort and struggle."
Images/1260.png,हाथ मलना,To rub hands (regret),Haath Malna,"to repent, to mourn","The idiom 'हाथ मलना' translates to 'rubbing hands' in English. It is often used to describe a situation where someone is feeling regretful or helpless after a missed opportunity or a mistake. The imagery typically involves a person wringing their hands in distress or frustration, symbolizing their inability to change the past or rectify the situation."
Images/1261.png,हथियार डाल देना,To lay down arms (surrender),Hathiyar Daal Dena,accept defeat,"The Hindi idiom 'हथियार डाल देना' translates to 'to lay down one's arms' in English. It signifies surrendering or giving up in a conflict or struggle. An image representing this idiom could depict a person or soldier placing their weapons on the ground, symbolizing the act of surrendering or ceasing to fight."
Images/1262.png,हँसी-खेल समझना,To consider as fun and games,Hansi-Khel Samajhna,make something easier,"The Hindi idiom 'हँसी-खेल समझना' translates to ""to take something lightly"" or ""to consider something as a joke."" It implies not taking a situation, task, or responsibility seriously and treating it as if it were trivial or unimportant. An image representing this idiom could depict a person laughing or being carefree in a situation that clearly requires seriousness and attention, such as a student joking around during an important exam or a worker being nonchalant in a critical meeting."
Images/1263.png,हवा के घोड़े पर सवार होना,To ride on the horse of air (daydream),Hawa Ke Ghode Par Sawar Hona,Very early,"The idiom 'हवा के घोड़े पर सवार होना' translates to ""riding on the horse of the wind"" in English. It describes a situation where someone is moving very quickly, often with a sense of urgency or excitement. It can also imply that the person is being carried away by their ambitions or emotions, moving forward with great speed and little control. An image representing this idiom might depict a person riding a horse that appears to be made of wind or air, galloping swiftly through the sky or across a landscape, symbolizing rapid and somewhat uncontrollable progress."
Images/1264.png,हवाई किले बनाना,To build air castles (daydream),Hawaaee Kile Banana,seeing imaginary thoughts in imagination,"The idiom 'हवाई किले बनाना' translates to 'building castles in the air' in English. It describes the act of making grand, unrealistic plans or dreams that are unlikely to come true. An image representing this idiom could depict a person or a group of people imagining or drawing grand, elaborate castles floating in the sky, symbolizing their unrealistic and fanciful aspirations."
Images/1265.png,हवा से बातें करना,To talk to the wind (be very fast),Hawa Se Baatein Karna,run like the wind,"The Hindi idiom 'हवा से बातें करना' translates to 'talking to the wind' in English. It describes a situation where someone is speaking or making an effort, but it seems futile because no one is listening or paying attention. The imagery for this idiom could include a person standing alone in an open field or on a hilltop, speaking or gesturing into the empty air, with the wind blowing around them, symbolizing the lack of an audience or response."
Images/1266.png,हाथ का खिलौना,Toy of the hand (puppet),Haath Ka Khilona,person who acts according to someone's orders,"The idiom 'हाथ का खिलौना' (haath ka khilona) translates to ""a toy in the hand"" in English. It is used to describe something or someone that is easily controlled or manipulated, much like a toy that can be moved and directed at will. The imagery for this idiom could include a hand holding a small, simple toy, symbolizing control and ease of manipulation."
Images/1267.png,हँसते-हँसते पेट में बल पड़ना,To get twists in the stomach from laughter,Hanste-Hanste Pet Mein Bal Padna,lots of laughs,The Hindi idiom 'हँसते-हँसते पेट में बल पड़ना' translates to 'Laughing so hard that your stomach hurts' in English. This idiom describes a situation where someone is laughing so intensely and uncontrollably that it causes physical discomfort or pain in their stomach. It conveys the idea of extreme amusement and joy.
Images/1268.png,हाथ उठाना,To raise the hand (take initiative),Haath Uthana,"to beat, to move with hands, to slide with hands, to hit, to beat","The Hindi idiom 'हाथ उठाना' translates to 'raising one's hand' in English. It typically means to physically hit or strike someone. In a broader sense, it can also imply taking aggressive action or showing violence towards someone. An image representing this idiom might depict a person with their hand raised in a threatening or striking gesture towards another individual."
Images/1269.png,हाथ फैलाना,To spread hands (beg),Haath Failana,"to pray, to plead, to plead","The Hindi idiom 'हाथ फैलाना' translates to 'stretching out one's hand' in English. It metaphorically means to beg or ask for help, often implying a sense of dependency or neediness. An image representing this idiom could depict a person with an outstretched hand, possibly looking humble or in need, symbolizing the act of seeking assistance or charity."
Images/1270.png,हिचकी बँधना,To get hiccups (be remembered),Hichki Bandhna,cry very badly,"The Hindi idiom 'हिचकी बँधना' translates to ""getting hiccups"" in English. It is often used metaphorically to suggest that someone is being remembered or talked about by others. The imagery for this idiom could include a person experiencing hiccups, with thought bubbles or ghostly figures around them, symbolizing people thinking or speaking about them."
Images/1271.png,हुलिया बिगड़ जाना,To have appearance spoiled,Huliya Bigad Jana,facial deformity,"The Hindi idiom 'हुलिया बिगड़ जाना' translates to 'appearance getting ruined' in English. It refers to a situation where someone's physical appearance or demeanor has deteriorated significantly, often due to stress, hardship, or some adverse event. This can be depicted visually by showing a person who looks disheveled, tired, or worn out, with messy hair, wrinkled clothes, and a generally unkempt look."
Images/1272.png,हेटी होना,To be insulted,Heti Hona,to be insulted,"The Hindi idiom 'हेटी होना' translates to ""to be humiliated"" or ""to be disgraced"" in English. It describes a situation where someone experiences shame, embarrassment, or a loss of respect, often in a public or social context. An image representing this idiom could depict a person with a downcast expression, possibly in a setting where others are looking at them disapprovingly or mockingly, highlighting the sense of public humiliation."
Images/1273.png,होश की दवा करना,To give a dose of sense,Hosh Ki Dawa Karna,speak with understanding,"The Hindi idiom 'होश की दवा करना' translates to ""administering the medicine of awareness"" in English. It means to make someone aware of their mistakes or to bring someone to their senses. The imagery could involve a person being guided or enlightened, perhaps with a symbolic representation of medicine or light, indicating the act of awakening or realization."
Images/1274.png,होश ठिकाने आना,Sense comes to place (come to senses),Hosh Thikane Aana,to crush pride,"The Hindi idiom 'होश ठिकाने आना' translates to ""coming to one's senses"" in English. It describes a situation where someone regains their awareness, composure, or understanding after being confused, reckless, or unaware. An image representing this idiom could depict a person who looks relieved or enlightened, perhaps with a light bulb above their head, symbolizing a moment of clarity or realization."
Images/1275.png,त्रिशुंक होना,To be in limbo,Trishunk Hona,be on both sides,"The Hindi idiom 'त्रिशुंक होना' (Trishanku Hona) refers to being in a state of limbo or being caught between two situations without a clear resolution. It originates from the mythological story of King Trishanku, who was suspended between heaven and earth. An image representing this idiom might depict a person or character floating in mid-air, with one hand reaching towards the sky and the other towards the ground, symbolizing their inability to settle in either place."
Images/1276.png,त्राहि-त्राहि करना,To cry out for help,Traahi-Traahi Karna,safety in times of trouble,"The Hindi idiom 'त्राहि-त्राहि करना' (Traahi-Traahi Karna) translates to ""crying out for help"" or ""pleading for mercy"" in English. It depicts a situation where someone is in extreme distress or danger and is desperately seeking assistance or relief. The imagery often associated with this idiom includes a person in a state of panic, raising their hands, or calling out loudly, surrounded by a chaotic or threatening environment."
Images/1277.png,নাচতে না জানলে উঠান বাঁকা,"If you can't dance, blame the courtyard",Nachte na janle uthan baka,Blaming external factors for your own failures instead of taking personal responsibility.,"The Bengali idiom ""নাচতে না জানলে উঠান বাঁকা"" translates to ""If you can't dance, the courtyard is crooked."" It means that when someone lacks skill or ability, they tend to blame external factors for their shortcomings. 

For an image based on this idiom, you might depict a person attempting to dance awkwardly in a courtyard. The person could have a frustrated expression, while the courtyard itself appears perfectly normal, emphasizing that the problem lies with the dancer, not the environment."
Images/1278.png,ঘরে পোড়া গরু সিঁদুরে মেঘ দেখলে ডরায়,A burnt cow fears a red cloud,Ghore pora goroo sindure megh dekhle doray,A burnt child dreads the fire,"The idiom ""ঘরে পোড়া গরু সিঁদুরে মেঘ দেখলে ডরায়"" translates to ""A cow that has been burnt is afraid even of a red cloud."" It means that someone who has experienced a traumatic event becomes overly cautious or fearful, even in situations that may not pose a real threat. 

For an image based on this idiom, you could depict a cow with visible burn marks or signs of past injury, looking up fearfully at a red cloud in the sky. The red cloud symbolizes a harmless situation that triggers fear due to past trauma. The overall mood of the image should convey a sense of anxiety and caution."
Images/1279.png,অসময়ের বন্ধুই প্রকৃত বন্ধু,A friend in bad times is a true friend,Osomoyer bondhui prokrito bondhu,A friend in need is a friend indeed,"The idiom ""অসময়ের বন্ধুই প্রকৃত বন্ধু"" translates to ""A friend in need is a friend indeed"" in English. This saying emphasizes that a true friend is someone who stands by you during difficult times. For an image representation, you could depict two individuals, one offering support to the other who is visibly distressed or facing a challenge. The background could show a stormy or dark environment to symbolize tough times, while the act of support between the friends stands out as a beacon of hope and solidarity."
Images/1280.png,অল্প বিদ্যা ভয়ঙ্করী,Little knowledge is dangerous,Olpo biddya bhoyonkori,A little learning is a dangerous thing,"The idiom ""অল্প বিদ্যা ভয়ঙ্করী"" translates to ""A little knowledge is a dangerous thing"" in English. This saying highlights the idea that having a small amount of knowledge can lead to overconfidence and potentially harmful decisions, as the person may not fully understand the complexities of the situation. An image representing this idiom could depict a person confidently attempting a complex task with limited understanding, leading to a precarious or risky outcome."
